,STATE,START_YEAR,INTEREST_TYPE,SUP_INTEREST_TYPE
38,AK,2014,285,285
39,AK,2015,205,205
40,AK,2016,144,144
41,AK,2017,141,141
42,AK,2018,103,103
86,CA,2014,25901,25901
87,CA,2015,12465,12465
88,CA,2016,160,160
89,CA,2017,246,246
90,CA,2018,507,507
205,HI,2014,605,605
206,HI,2015,499,499
207,HI,2016,696,696
208,HI,2017,49,49
209,HI,2018,59,59
346,OR,2014,115,115
347,OR,2015,207,207
348,OR,2016,125,125
349,OR,2017,85,85
350,OR,2018,54,54
445,WA,2014,3005,3005
446,WA,2015,4646,4646
447,WA,2016,759,759
448,WA,2017,250,250
449,WA,2018,126,126
